run_id,strategy,monthly_contribution,max_positions,min_hold_months,trade_day,hard_stop_return,relative_bleed_return,relative_bleed_xbi_underperformance,freeze_return_threshold,portfolio_id,benchmark_ticker,period_start,period_end,cumulative_invested,ending_value,portfolio_return,xbi_return,vs_xbi_pp,active_positions,frozen_positions,sold_positions,output_dir
2026-09-07_205058,baker_bros_top10_ew,1000.0,10,3,1,-0.4,-0.25,-0.15,-0.1,baker-bros,XBI,2020-11-30,2026-02-06,63900.0,50973.27,-0.202296,0.32361,-52.59,10,0,9,data/processed/backtest_runs/2026-09-07_205058
2026-09-07_205108,baker_bros_top10_ew,1000.0,10,3,1,-0.3,-0.25,-0.15,-0.1,baker-bros,XBI,2020-11-30,2026-02-06,63900.0,52101.86,-0.184634,0.32361,-50.82,10,0,9,data/processed/backtest_runs/2026-09-07_205108
2026-09-09_071841,baker_bros_top10_ew,1000.0,10,3,1,-0.4,-0.25,-0.15,-0.1,baker-bros,XBI,2020-11-30,2026-05-08,67000.0,53878.94,-0.195837,0.403381,-59.92,10,0,10,data/processed/backtest_runs/2026-09-09_071841
